,transcript_path,agent_positive_min,agent_positive_max,agent_positive_mean,agent_neutral_min,agent_neutral_max,agent_neutral_mean,agent_negative_min,agent_negative_max,agent_negative_mean,agent_positive_end,caller_positive_min,caller_positive_max,caller_positive_mean,caller_neutral_min,caller_neutral_max,caller_neutral_mean,caller_negative_min,caller_negative_max,caller_negative_mean,caller_positive_end,metadata_path,task_type,end_time_ms,sid,start_time_ms,code
5718f70f22d6431c.json,../github/gridspace-stanford-harper-valley/data/transcript/5718f70f22d6431c.json,0.12012731283903122,0.6678916215896606,0.3618299158083068,0.30994805693626404,0.5898755788803101,0.47161657611529034,0.022160327062010765,0.3315832018852234,0.16655351449218062,1,0.09800078719854355,0.43505075573921204,0.2542158669004074,0.4100355803966522,0.5919204950332642,0.5125740353877728,0.1282724142074585,0.4457882046699524,0.23321009943118462,0,../github/gridspace-stanford-harper-valley/data/metadata/5718f70f22d6431c.json,order checks,1591054766324,5718f70f22d6431c,1591054671475,000
22bbed2fb6f14a78.json,../github/gridspace-stanford-harper-valley/data/transcript/22bbed2fb6f14a78.json,0.0,0.6710221767425537,0.17280914261937141,0.3061544895172119,1.0,0.7901084298888842,0.0,0.33410710096359253,0.03708243075137337,0,0.10931966453790665,0.725732684135437,0.29551865973255853,0.26446375250816345,0.6516910791397095,0.4733749682253057,0.009803484193980694,0.4217275381088257,0.2311063538390127,1,../github/gridspace-stanford-harper-valley/data/metadata/22bbed2fb6f14a78.json,order checks,1591057113879,22bbed2fb6f14a78,1591057057921,001
8c8a5b0505d74c5d.json,../github/gridspace-stanford-harper-valley/data/transcript/8c8a5b0505d74c5d.json,0.0,0.7196760773658752,0.2525881909661823,0.26835957169532776,1.0,0.6639523903528849,0.0,0.33247464895248413,0.0834594067806999,0,0.02004420757293701,0.3639039099216461,0.18711209297180176,0.3762824237346649,0.6061225533485413,0.4840684473514557,0.2061181217432022,0.6036734580993652,0.32881946861743927,0,../github/gridspace-stanford-harper-valley/data/metadata/8c8a5b0505d74c5d.json,order checks,1591055980580,8c8a5b0505d74c5d,1591055932101,010
2f6459fac11c4ad2.json,../github/gridspace-stanford-harper-valley/data/transcript/2f6459fac11c4ad2.json,0.11409473419189453,0.6601243615150452,0.3352253418415785,0.31960052251815796,0.5456652641296387,0.45964768528938293,0.01330705638974905,0.36264264583587646,0.20512698439415544,1,0.06936831027269363,0.49438872933387756,0.21979583334177732,0.40003541111946106,0.6052500009536743,0.47874268516898155,0.10557588189840317,0.50904381275177,0.3014614852145314,1,../github/gridspace-stanford-harper-valley/data/metadata/2f6459fac11c4ad2.json,order checks,1584312344719,2f6459fac11c4ad2,1584312284947,011
79217a3dbe5945dc.json,../github/gridspace-stanford-harper-valley/data/transcript/79217a3dbe5945dc.json,0.0,0.6966931819915771,0.4512666281726625,0.29079684615135193,1.0,0.4616614315244887,0.0,0.27821657061576843,0.08707193326618937,0,0.0,0.6242640614509583,0.2383619939739054,0.328765332698822,1.0,0.6113667379726063,0.0,0.3748278021812439,0.15027127821337094,0,../github/gridspace-stanford-harper-valley/data/metadata/79217a3dbe5945dc.json,replace card,1584312015357,79217a3dbe5945dc,1584311952066,100
22c518725f8c44ad.json,../github/gridspace-stanford-harper-valley/data/transcript/22c518725f8c44ad.json,0.16859221458435059,0.6928094625473022,0.4358624070882797,0.29761481285095215,0.577560544013977,0.43469913942473276,0.009575734846293926,0.2560960650444031,0.12943843712231942,1,0.1456429362297058,0.6298666596412659,0.48287764688332874,0.3400745093822479,0.5057252049446106,0.3905247449874878,0.03005877137184143,0.3486317992210388,0.12659757398068905,1,../github/gridspace-stanford-harper-valley/data/metadata/22c518725f8c44ad.json,replace card,1590861750578,22c518725f8c44ad,1590861705017,101
9b928d86009c463c.json,../github/gridspace-stanford-harper-valley/data/transcript/9b928d86009c463c.json,0.36703258752822876,0.6577075123786926,0.5692196190357208,0.30451521277427673,0.4674396216869354,0.361414298415184,0.03017619624733925,0.16552770137786865,0.06936606951057911,1,0.1256016194820404,0.21150225400924683,0.1768992215394974,0.4666998088359833,0.5530269145965576,0.5083478450775146,0.2689952552318573,0.40704163908958435,0.3147529184818268,0,../github/gridspace-stanford-harper-valley/data/metadata/9b928d86009c463c.json,replace card,1591056476828,9b928d86009c463c,1591056442734,110
4f179504534f4600.json,../github/gridspace-stanford-harper-valley/data/transcript/4f179504534f4600.json,0.3331787884235382,0.7421271800994873,0.55311419069767,0.24650177359580994,0.5035128593444824,0.36966563761234283,0.011371070519089699,0.1770218461751938,0.07722018379718065,1,0.11267794668674469,0.6709122061729431,0.2684241347014904,0.2931797206401825,0.47675222158432007,0.40819908678531647,0.03590807318687439,0.4546968638896942,0.3233768120408058,1,../github/gridspace-stanford-harper-valley/data/metadata/4f179504534f4600.json,replace card,1591057419087,4f179504534f4600,1591057373543,111
0851d5916008439f.json,../github/gridspace-stanford-harper-valley/data/transcript/0851d5916008439f.json,0.0,0.692330539226532,0.3093051925301552,0.2913118600845337,1.0,0.5760387659072876,0.0,0.25995177030563354,0.11465604361146689,1,0.0,0.6600810289382935,0.15824907625976362,0.30037641525268555,1.0,0.7517906678350348,0.0,0.3159973919391632,0.08996024610180604,0,../github/gridspace-stanford-harper-valley/data/metadata/0851d5916008439f.json,reset password,1591058999191,0851d5916008439f,1591058921329,200
d47bbdf16dce4e0b.json,../github/gridspace-stanford-harper-valley/data/transcript/d47bbdf16dce4e0b.json,0.16181333363056183,0.667849063873291,0.4225558067361514,0.315255343914032,0.5761852860450745,0.4458798070748647,0.014178351499140263,0.2836630046367645,0.13156435871496797,0,0.1291455626487732,0.6705519556999207,0.30011527415584116,0.2962936758995056,0.5717265009880066,0.488361202618655,0.021979425102472305,0.34654301404953003,0.21152352191069546,1,../github/gridspace-stanford-harper-valley/data/metadata/d47bbdf16dce4e0b.json,reset password,1584314376474,d47bbdf16dce4e0b,1584314299996,201
